Region,Decision Tree,KNN,Logistic Regression,Naive Bayes,Random Forest,SVM
ARM_Cordoba,1.0,0.978494623655914,0.978494623655914,0.7956989247311828,0.978494623655914,0.978494623655914
ARM_Manacapuru,0.9322033898305084,0.6440677966101694,0.7796610169491526,0.2711864406779661,0.9322033898305084,0.6610169491525424
Abracos_Hill,0.982608695652174,0.6478260869565218,0.8478260869565217,0.2260869565217391,0.9608695652173912,0.782608695652174
Alta_Floresta_IF,0.9655172413793104,0.7758620689655172,0.896551724137931,0.3103448275862069,0.9310344827586208,0.8275862068965517
Amazon_ATTO_Tower,0.9966216216216216,0.8378378378378378,0.8952702702702703,0.1959459459459459,0.956081081081081,0.9121621621621622
Arica,0.9945786101527846,0.8467225234105471,0.9226219812715624,0.1424346968950221,0.9655002464268112,0.9083292262198128
Belterra,0.9444444444444444,0.6,0.7888888888888889,0.3111111111111111,0.9222222222222224,0.8222222222222222
Concepcion,0.9577464788732394,0.5070422535211268,0.7464788732394366,0.380281690140845,0.971830985915493,0.704225352112676
Cuiaba,0.9090909090909092,0.5974025974025974,0.7792207792207793,0.1168831168831168,0.948051948051948,0.6883116883116883
Huancayo-IGP,0.9989293361884368,0.8747323340471093,0.9646680942184154,0.247323340471092,0.943254817987152,0.9271948608137044
Itajuba,0.9913294797687862,0.907514450867052,0.9190751445086706,0.1242774566473988,0.96242774566474,0.9219653179190752
Jaru_Reserve,0.8888888888888888,0.5925925925925926,0.7407407407407407,0.6296296296296297,0.8888888888888888,0.6666666666666666
Ji_Parana_UNIR,0.9724770642201837,0.6880733944954128,0.8440366972477065,0.2935779816513761,0.981651376146789,0.8348623853211009
Mount_Chacaltaya,1.0,0.9090909090909092,0.9204545454545454,0.5,0.9318181818181818,0.9090909090909092
Natal,1.0,0.7272727272727273,0.9090909090909092,0.4545454545454545,0.9090909090909092,0.8181818181818182
Rio_Branco,0.995575221238938,0.6710914454277286,0.8480825958702065,0.1799410029498525,0.952802359882006,0.8259587020648967
Rio_de_Janeiro_UFRJ,0.98,0.9,0.98,0.3,1.0,0.92
Sao_Martinho_SONDA,0.988795518207283,0.9243697478991596,0.9341736694677872,0.1750700280112044,0.9747899159663864,0.9159663865546218
Sao_Paulo,0.9961832061068704,0.7926208651399491,0.931297709923664,0.1068702290076335,0.960559796437659,0.905852417302799
Surinam,0.9230769230769232,0.7692307692307693,0.8461538461538461,0.7692307692307693,0.9230769230769232,0.8461538461538461
UNC-Gaitan,1.0,0.8333333333333334,0.8888888888888888,0.3888888888888889,0.8888888888888888,0.8888888888888888
UPC-GEAB-Valledupar,0.9787878787878788,0.8242424242424242,0.9030303030303032,0.1818181818181818,0.9454545454545454,0.9
