Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],AOD_Extinction-Fine[440nm],AOD_Extinction-Fine[675nm],AOD_Extinction-Fine[870nm],AOD_Extinction-Fine[1020nm],AOD_Extinction-Coarse[440nm],AOD_Extinction-Coarse[675nm],AOD_Extinction-Coarse[870nm],AOD_Extinction-Coarse[1020nm],Extinction_Angstrom_Exponent_440-870nm-Total,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
IIT_Delhi,01:04:2021,01:55:09,91,91.079965,0.209000,0.167100,0.150600,0.143000,0.102400,0.052900,0.032100,0.022900,0.106600,0.114200,0.118400,0.120200,0.486091,73.936420,74.592313,2.711773,0.118282,0.205580,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080310,0.152120,0.294820,0.292630,1,1,30:06:2022,22:29:35,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,02:29:19,91,91.103692,0.212600,0.167400,0.150400,0.142500,0.109100,0.056900,0.035400,0.025400,0.103400,0.110500,0.115000,0.117100,0.514069,66.483868,67.136139,1.716754,0.131433,0.208548,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.071900,0.136100,0.266600,0.266130,1,1,30:06:2022,22:36:07,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,10:07:28,91,91.421852,0.428900,0.406500,0.401700,0.399300,0.099400,0.056300,0.036300,0.026900,0.329600,0.350200,0.365400,0.372400,0.099396,52.007712,51.382179,3.705958,0.331429,0.419625,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.062640,0.118080,0.234180,0.234600,1,1,30:06:2022,22:23:44,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,10:29:48,91,91.437361,0.456500,0.426400,0.419100,0.415500,0.111900,0.060900,0.038800,0.028700,0.344600,0.365600,0.380300,0.386800,0.129238,56.716261,56.079023,4.058046,0.354793,0.445318,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,3,0.065170,0.122760,0.242190,0.241670,1,1,30:06:2022,22:27:23,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,10:59:31,91,91.457998,0.452400,0.420600,0.410400,0.405200,0.117300,0.065300,0.041100,0.030000,0.335100,0.355300,0.369400,0.375300,0.146105,63.089285,62.441662,4.305382,0.276718,0.443055,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.069590,0.130950,0.256230,0.254110,1,1,30:06:2022,22:35:45,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,11:47:05,91,91.491030,0.547500,0.504000,0.485400,0.474000,0.144900,0.075100,0.043000,0.029300,0.402600,0.428900,0.442500,0.444700,0.178721,73.433976,72.778876,4.995134,0.120703,0.535918,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080620,0.151380,0.291210,0.285120,1,1,30:06:2022,22:44:54,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,12:05:35,91,91.503877,0.559900,0.515400,0.494900,0.481500,0.150900,0.079100,0.045100,0.030500,0.409000,0.436300,0.449900,0.451000,0.182687,77.474102,76.819209,4.611778,0.060045,0.548705,4,9,7,5,4,9,7,6,4,10,7,6,4,10,7,6,0.087040,0.163240,0.311480,0.303050,1,1,30:06:2022,22:48:44,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,01:54:11,92,92.079294,0.311900,0.247500,0.219100,0.205300,0.162000,0.086700,0.052300,0.036000,0.149900,0.160800,0.166900,0.169300,0.521393,73.900859,74.557030,1.966071,0.099946,0.307889,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080270,0.152030,0.294660,0.292480,1,1,30:06:2022,22:16:22,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,03:15:12,92,92.135556,0.343300,0.268900,0.239900,0.226300,0.180900,0.094000,0.057800,0.041500,0.162500,0.174900,0.182100,0.184800,0.531488,56.341463,56.981118,2.341500,0.246848,0.338232,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.064540,0.122110,0.242020,0.243210,1,1,30:06:2022,22:27:02,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,03:44:07,92,92.155637,0.374900,0.288600,0.255000,0.240200,0.207600,0.108100,0.066000,0.047700,0.167300,0.180400,0.189000,0.192500,0.571286,50.250994,50.875551,2.492475,0.247269,0.370364,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.061530,0.116400,0.231990,0.233920,1,1,30:06:2022,22:29:53,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,10:07:08,92,92.421620,0.258200,0.214000,0.199300,0.192700,0.111600,0.057400,0.035800,0.026200,0.146600,0.156600,0.163500,0.166600,0.386790,51.791408,51.164438,3.266431,0.208456,0.254096,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.062540,0.117880,0.233840,0.234310,1,1,30:06:2022,22:15:36,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,10:30:30,92,92.437847,0.297000,0.239400,0.221100,0.213400,0.130700,0.063100,0.037900,0.026900,0.166300,0.176300,0.183200,0.186500,0.441253,56.729397,56.090614,2.349776,0.240676,0.290854,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,4,0.065170,0.122760,0.242210,0.241690,1,1,30:06:2022,22:21:17,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,10:59:11,92,92.457766,0.292800,0.236800,0.218200,0.210500,0.129600,0.063500,0.037900,0.026900,0.163200,0.173300,0.180300,0.183600,0.439062,62.891169,62.242804,2.860215,0.200992,0.287462,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.069430,0.130650,0.255730,0.253660,1,1,30:06:2022,22:26:44,1170,28.545000,77.192600,15.000000,lev20,Almucantar
